City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
93,san carlos de bariloche,-41.1456,-71.3082,6.86,42,0,3.09,AR,1681606848
94,porbandar,21.6422,69.6093,25.6,83,0,2.82,IN,1681606959
95,te anau,-45.4167,167.7167,18.44,46,8,0.92,NZ,1681606960
96,kalmunai,7.4167,81.8167,25.59,84,100,2.29,LK,1681606961
97,mahebourg,-20.4081,57.7,24.58,94,40,1.54,MU,1681606961
98,balad,34.0164,44.1453,18.27,50,100,4.03,IQ,1681606962
99,amahai,-3.3333,128.9167,29.31,66,59,1.21,ID,1681606962
100,hithadhoo,-0.6,73.0833,28.73,70,27,3.04,MV,1681606963
101,astoria,46.1879,-123.8313,12.46,69,40,7.72,US,1681606787
102,namie,37.4833,141.0,18.88,69,98,7.37,JP,1681606963
103,buraydah,26.326,43.975,15.25,75,7,5.81,SA,1681606964
104,richards bay,-28.783,32.0377,16.3,77,14,2.41,ZA,1681606964
105,katherine,-14.4667,132.2667,29.18,70,93,4.12,AU,1681606965
106,lavrentiya,65.5833,-171.0,-11.15,71,76,0.67,RU,1681606965
107,nanortalik,60.1432,-45.2371,1.35,76,100,2.21,GL,1681606966
108,san ramon,37.7799,-121.978,19.12,59,0,7.2,US,1681606946
109,thinadhoo,0.5333,72.9333,28.33,72,85,3.17,MV,1681606966
110,butaritari,3.0707,172.7902,27.97,77,100,6.37,KI,1681606967
111,coquimbo,-29.9533,-71.3436,15.85,82,0,4.63,CL,1681606950
112,pardina,45.3064,28.9569,9.33,88,100,2.71,RO,1681606968
113,zhezkazgan,47.8043,67.7144,-0.2,63,100,7.23,KZ,1681606968
114,iqaluit,63.7506,-68.5145,-7.15,86,100,9.77,CA,1681606968
115,saldanha,-33.0117,17.9442,11.03,78,0,4.85,ZA,1681606969
116,avarua,-21.2078,-159.775,27.03,65,40,3.09,CK,1681606969
117,nantucket,41.2835,-70.0995,13.08,94,100,5.33,US,1681606970
118,itarema,-2.9248,-39.9167,25.31,89,100,4.72,BR,1681606970
119,garden city,42.3256,-83.331,23.3,62,100,2.09,US,1681606823
120,bourail,-21.5667,165.4833,22.88,93,100,3.82,NC,1681606850
121,tiksi,71.6872,128.8694,-11.08,88,100,5.19,RU,1681606972
122,cayenne,4.9333,-52.3333,25.02,94,75,1.54,GF,1681606812
123,sisimiut,66.9395,-53.6735,-6.59,82,6,5.01,GL,1681606972
124,mudon,16.2578,97.7164,26.41,74,100,2.5,MM,1681606973
125,batman,37.8874,41.1322,7.89,100,0,0.0,TR,1681606973
126,abalak,58.1286,68.5944,-3.71,82,62,3.54,RU,1681606973
127,wageningen,51.9667,5.6667,8.84,94,100,4.63,NL,1681606974
128,nishihara,26.1842,127.7558,24.03,61,20,2.57,JP,1681606974
129,channel-port aux basques,47.5702,-59.1367,0.72,77,99,5.3,CA,1681606975
130,araouane,18.9048,-3.5265,25.83,9,0,3.95,ML,1681606975
131,palmer,42.1584,-72.3287,19.23,85,100,0.0,US,1681606975
132,rocha,-34.4833,-54.3333,9.96,88,100,0.55,UY,1681606976
133,broome,42.2506,-75.833,18.25,90,100,2.57,US,1681606976
134,zwedru,6.0667,-8.1281,23.04,93,100,0.44,LR,1681606977
135,guanica,17.9716,-66.908,26.62,89,2,3.06,PR,1681606977
136,caravelas,-17.7125,-39.2481,25.38,84,56,3.99,BR,1681606977
137,kaeo,-35.1,173.7833,21.29,79,100,9.02,NZ,1681606978
138,sondrio,46.169,9.8692,8.26,39,23,3.94,IT,1681606978
139,haines junction,60.7522,-137.5108,6.97,36,88,2.57,CA,1681606979
140,cidreira,-30.1811,-50.2056,20.26,85,87,7.94,BR,1681606941
141,ouricuri,-7.8825,-40.0817,23.26,59,100,0.55,BR,1681606979
142,chumikan,54.7183,135.315,-2.06,89,99,3.67,RU,1681606980
143,bengkulu,-3.8004,102.2655,24.88,87,100,1.97,ID,1681606980
144,ahipara,-35.1667,173.1667,18.78,76,100,6.99,NZ,1681606981
145,kudahuvadhoo,2.6708,72.8944,27.92,74,65,2.48,MV,1681606981
146,aklavik,68.2191,-135.0107,-11.07,87,100,4.78,CA,1681606982
147,progreso,21.2833,-89.6667,34.06,82,0,4.27,MX,1681606983
148,meulaboh,4.1363,96.1285,25.71,86,100,1.25,ID,1681606984
149,coahuayana,18.7333,-103.6833,25.81,61,90,1.8,MX,1681606984
150,roma,43.2128,-75.4557,21.08,60,40,0.0,US,1681606986
151,lulea,65.5842,22.1547,-7.96,79,98,1.54,SE,1681606987
152,lockhart,28.6194,-81.4426,24.48,89,100,7.77,US,1681606805
153,camacha,33.0833,-16.3333,16.68,77,40,4.63,PT,1681606988
154,alofi,-19.0595,-169.9187,27.94,65,65,5.14,NU,1681606989
155,taoudenni,22.6783,-3.9836,28.63,8,0,3.47,ML,1681606990
156,necochea,-38.5473,-58.7368,13.34,66,60,2.98,AR,1681606991
157,san cristobal,7.7669,-72.225,24.1,83,100,1.17,VE,1681606991
158,bredasdorp,-34.5322,20.0403,12.52,88,0,1.24,ZA,1681606992
